Player,season,Pos,Age,G,MP,PER,TS%,USG%,BPM,VORP,WS,OWS,DWS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,PER_next
Taurean Prince,2022,PF,27.0,69.0,1177.0,12.4,0.589,17.0,-0.9,0.3,2.2,1.0,1.2,7.3,2.5,1.0,0.7,0.3,0.8,0.454,0.376,0.756,10.0
Taurean Prince,2023,PF,28.0,54.0,1192.0,10.0,0.597,17.3,-3.3,-0.4,1.3,0.3,1.0,9.1,2.4,1.6,0.5,0.3,1.3,0.467,0.381,0.844,8.8
Taurean Prince,2024,PF,29.0,78.0,2108.0,8.8,0.579,13.8,-2.8,-0.4,1.9,0.3,1.7,8.9,2.9,1.5,0.7,0.4,0.9,0.442,0.396,0.735,9.8
Tayshaun Prince,2015,SF,34.0,58.0,1397.0,12.0,0.504,15.0,-0.6,0.5,2.5,1.3,1.2,7.5,3.6,1.6,0.5,0.3,0.6,0.44,0.463,0.754,6.3
Terance Mann,2020,SF,23.0,41.0,362.0,10.6,0.545,12.6,-1.5,0.0,0.8,0.4,0.4,2.4,1.3,1.3,0.3,0.1,0.4,0.468,0.35,0.667,13.8
Terance Mann,2021,SG,24.0,67.0,1263.0,13.8,0.603,15.1,-0.2,0.6,3.7,2.4,1.3,7.0,3.6,1.6,0.4,0.2,0.6,0.509,0.418,0.83,13.4
Terance Mann,2022,SF,25.0,81.0,2317.0,13.4,0.572,16.0,-0.6,0.8,5.5,3.1,2.4,10.8,5.2,2.6,0.7,0.3,1.0,0.484,0.365,0.78,13.4
Terance Mann,2023,SG,26.0,81.0,1872.0,13.4,0.619,15.3,-0.2,0.8,4.3,2.8,1.5,8.8,3.4,2.3,0.5,0.3,1.0,0.519,0.389,0.78,12.0
Terance Mann,2024,SG,27.0,75.0,1873.0,12.0,0.615,13.6,-1.5,0.2,4.2,3.0,1.2,8.8,3.4,1.6,0.6,0.2,0.6,0.515,0.348,0.832,12.0
Terence Davis,2020,SG,22.0,72.0,1209.0,13.8,0.588,19.0,0.8,0.8,3.1,1.2,1.9,7.5,3.3,1.6,0.5,0.2,1.1,0.456,0.388,0.864,12.7
Terence Davis,2021,SG,23.0,61.0,1074.0,12.7,0.555,21.8,-1.7,0.1,0.8,0.1,0.8,8.7,2.5,1.4,0.7,0.2,1.0,0.428,0.367,0.818,14.6
Terence Davis,2022,SG,24.0,30.0,536.0,14.6,0.543,25.6,-0.9,0.2,0.5,0.0,0.5,10.4,3.1,1.3,0.8,0.4,1.1,0.423,0.329,0.818,12.9
Terrance Ferguson,2018,SG,19.0,61.0,763.0,7.4,0.545,10.4,-3.3,-0.3,1.2,0.7,0.5,3.1,0.8,0.3,0.4,0.2,0.2,0.414,0.333,0.9,3.7
Terrance Ferguson,2019,SF,21.0,56.0,1257.0,3.7,0.481,9.1,-4.5,-0.8,0.6,-0.3,0.9,6.9,1.9,1.0,0.5,0.2,0.6,0.429,0.366,0.725,3.7
Terrence Jones,2015,PF,23.0,33.0,889.0,18.3,0.567,18.4,1.2,0.7,3.0,1.7,1.3,11.7,6.7,1.1,0.5,1.8,1.1,0.528,0.351,0.606,13.5
Terrence Jones,2016,PF,24.0,50.0,1044.0,13.5,0.519,19.3,-2.1,0.0,1.5,0.8,0.7,8.7,4.2,0.8,0.5,0.8,1.0,0.452,0.316,0.664,16.1
Terrence Ross,2015,SF,23.0,82.0,2092.0,11.2,0.519,18.3,-1.4,0.3,2.4,1.3,1.0,9.8,2.8,1.0,0.6,0.3,0.8,0.41,0.372,0.786,12.9
Terrence Ross,2016,SF,24.0,73.0,1747.0,12.9,0.551,18.2,0.3,1.0,3.6,2.1,1.6,9.9,2.5,0.8,0.7,0.3,0.6,0.431,0.386,0.79,13.4
Terrence Ross,2017,SF,25.0,78.0,1955.0,13.4,0.55,19.3,-0.2,0.9,3.5,1.5,2.0,11.0,2.6,1.1,1.1,0.4,0.9,0.437,0.363,0.831,9.9
Terrence Ross,2018,SG,26.0,24.0,600.0,9.9,0.505,17.3,-2.7,-0.1,0.3,-0.2,0.5,8.7,3.0,1.6,1.1,0.5,1.2,0.398,0.323,0.75,14.0
Terrence Ross,2019,SG,28.0,69.0,1889.0,14.0,0.548,22.8,-0.4,0.8,3.0,1.1,2.0,15.1,3.5,1.7,0.9,0.4,1.1,0.428,0.383,0.875,14.0
Terrence Ross,2020,SG,28.0,69.0,1889.0,14.0,0.548,22.8,-0.4,0.8,3.0,1.1,2.0,14.7,3.2,1.2,1.1,0.3,1.0,0.403,0.351,0.853,13.2
Terrence Ross,2021,SG,29.0,46.0,1347.0,13.2,0.53,24.1,-2.3,-0.1,0.9,-0.1,1.0,15.6,3.4,2.3,1.0,0.5,1.6,0.412,0.337,0.87,10.0
Terrence Ross,2022,SG,30.0,63.0,1448.0,10.0,0.515,20.5,-3.7,-0.6,0.3,-0.5,0.9,10.0,2.6,1.8,0.4,0.2,1.2,0.397,0.292,0.862,10.2
Terry Rozier,2016,PG,21.0,39.0,311.0,5.0,0.326,17.7,-6.1,-0.3,-0.3,-0.6,0.3,1.8,1.6,0.9,0.2,0.0,0.5,0.274,0.222,0.8,10.9
Terry Rozier,2017,PG,22.0,74.0,1263.0,10.9,0.466,17.1,-1.4,0.2,1.4,0.0,1.4,5.5,3.1,1.8,0.6,0.1,0.6,0.367,0.318,0.773,15.1
Terry Rozier,2018,PG,23.0,80.0,2068.0,15.1,0.52,20.4,2.1,2.1,5.6,2.2,3.4,11.3,4.7,2.9,1.0,0.2,1.0,0.395,0.381,0.772,14.8
Terry Rozier,2019,PG,25.0,63.0,2164.0,14.8,0.553,23.7,-0.4,0.8,3.0,1.9,1.1,9.0,3.9,2.9,0.9,0.3,0.9,0.387,0.353,0.785,14.8
Terry Rozier,2020,PG,25.0,63.0,2164.0,14.8,0.553,23.7,-0.4,0.8,3.0,1.9,1.1,18.0,4.4,4.1,1.0,0.2,2.2,0.423,0.407,0.874,17.1
Terry Rozier,2021,SG,26.0,69.0,2383.0,17.1,0.575,24.4,1.6,2.2,5.2,3.3,2.0,20.4,4.4,4.2,1.3,0.4,1.9,0.45,0.389,0.817,17.6
