Player,season,PER,TS%,USG%,BPM,VORP,WS,OWS,DWS,PTS,TRB,AST,STL,BLK,TOV,Age,G,MP,PER_next
Scottie Barnes,2024,19.5,0.566,24.8,3.7,3.0,4.3,2.3,2.0,19.9,8.2,6.1,1.3,1.5,2.8,22.0,60.0,2094.0,17.8
Scotty Pippen Jr.,2024,16.4,0.596,23.0,1.3,0.4,1.0,0.3,0.7,12.9,3.2,4.7,1.7,0.5,2.7,23.0,21.0,527.0,15.8
Sean Kilpatrick,2016,15.6,0.576,23.8,-2.2,0.0,1.0,1.0,0.0,11.1,1.8,0.9,0.4,0.1,1.0,26.0,31.0,616.0,13.1
Sean Kilpatrick,2017,13.1,0.546,23.8,-2.3,-0.1,1.4,0.4,1.1,13.1,4.0,2.2,0.6,0.1,1.9,27.0,70.0,1754.0,11.6
Sekou Doumbouya,2020,6.2,0.474,16.9,-6.7,-0.9,-0.3,-0.8,0.5,6.4,3.1,0.5,0.5,0.2,0.9,19.0,38.0,754.0,6.9
Semi Ojeleye,2018,4.6,0.473,9.0,-4.7,-0.8,1.2,-0.2,1.3,2.7,2.2,0.3,0.3,0.1,0.3,23.0,73.0,1150.0,7.7
Semi Ojeleye,2019,7.7,0.562,9.7,-1.7,0.1,1.9,0.8,1.0,3.3,1.5,0.4,0.2,0.1,0.3,25.0,69.0,1011.0,7.7
Semi Ojeleye,2020,7.7,0.562,9.7,-1.7,0.1,1.9,0.8,1.0,3.4,2.1,0.5,0.3,0.1,0.3,25.0,69.0,1011.0,8.3
Semi Ojeleye,2021,8.3,0.553,11.6,-2.4,-0.1,1.2,0.7,0.6,4.6,2.6,0.7,0.3,0.0,0.4,26.0,56.0,950.0,6.7
Serge Ibaka,2015,16.6,0.549,18.9,0.9,1.6,5.6,2.9,2.7,14.3,7.8,0.9,0.5,2.4,1.5,25.0,64.0,2116.0,13.9
Serge Ibaka,2016,13.9,0.533,17.6,-0.6,0.8,5.5,2.5,3.0,12.6,6.8,0.8,0.5,1.9,1.4,26.0,78.0,2500.0,16.4
Serge Ibaka,2017,16.4,0.566,20.9,0.1,1.2,5.1,2.5,2.6,14.8,6.8,0.9,0.5,1.6,1.3,27.0,79.0,2422.0,14.7
Serge Ibaka,2018,14.7,0.574,19.4,-0.1,1.0,5.1,2.1,3.0,12.6,6.3,0.8,0.4,1.3,1.2,28.0,76.0,2093.0,17.3
